2021-10-14 12:10:228 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (c52ec0c0680ebae24f0ed1188372fbe8)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:344 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (c52ec0c0680ebae24f0ed1188372fbe8)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:485 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-qa = 'error-message-div-display']/parent::app-error-message[@data-qa = 'alert alert-danger ng-star-inserted']'
2021-10-14 12:10:538 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:316 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (1ad024e486e09411bfea8a11779a9e62)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:458 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (1ad024e486e09411bfea8a11779a9e62)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:587 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (1ad024e486e09411bfea8a11779a9e62)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:740 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-qa = 'error-message-div-display']/parent::app-error-message[@data-qa = 'alert alert-danger ng-star-inserted']'
2021-10-14 12:10:838 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:873 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (adcc0a2a86db01c47b2dcbdb99fb092f)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:994 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (adcc0a2a86db01c47b2dcbdb99fb092f)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:128 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (adcc0a2a86db01c47b2dcbdb99fb092f)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:265 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-qa = 'error-message-div-display']/parent::app-error-message[@data-qa = 'alert alert-danger ng-star-inserted']'
2021-10-14 12:10:215 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:29 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (02e722330ab854236bc5e9634ad60e33)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:168 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (02e722330ab854236bc5e9634ad60e33)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:308 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (02e722330ab854236bc5e9634ad60e33)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:441 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-qa = 'error-message-div-display']/parent::app-error-message[@data-qa = 'alert alert-danger ng-star-inserted']'
2021-10-14 12:10:349 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:366 INFO  LoginPage :53 - Clicking on Forgotten Password Link[[ChromeDriver: chrome on WINDOWS (c9c783b67ce2ba82e147edf934fd6b32)] -> xpath: //a[@id = 'forgotPasswordHref']]
2021-10-14 12:10:511 INFO  ResetAcessPage :19 - Verifying Page Message[[ChromeDriver: chrome on WINDOWS (c9c783b67ce2ba82e147edf934fd6b32)] -> xpath: //p[@id = 'signInHeading']]
2021-10-14 12:10:640 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:210 INFO  LoginPage :31 - Entering UserName [[ChromeDriver: chrome on WINDOWS (92e8b4638c07b3af76ba68ef3c8607c5)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:353 INFO  LoginPage :36 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (92e8b4638c07b3af76ba68ef3c8607c5)] -> xpath: //input[@id = 'password-inp']]
